id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
-FsQBCb280Zggp6fgfLdxg,socal-sushi-san-diego,SoCal Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/sVRd79DbYFqbj-AlZg40JA/o.jpg,False,https://www.yelp.com/biz/socal-sushi-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,220,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 32.7634749, 'longitude': -117.1187868}",['delivery'],$$,"{'address1': '3454 Adams Ave', 'address2': '', 'address3': None, 'city': 'San Diego', 'zip_code': '92116', 'country': 'US', 'state': 'CA', 'display_address': ['3454 Adams Ave', 'San Diego, CA 92116']}",+16192557388,(619) 255-7388,4456.914296245116
MpBbBVux96dH36raE8mALQ,ken-sushi-workshop-san-diego-3,Ken Sushi Workshop,https://s3-media4.fl.yelpcdn.com/bphoto/D0SUa4tPZswfCYiqCLybZA/o.jpg,False,https://www.yelp.com/biz/ken-sushi-workshop-san-diego-3?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,889,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 32.9264557231392, 'longitude': -117.237016705725}",['delivery'],$$$,"{'address1': '11375 El Camino Real', 'address2': '', 'address3': '', 'city': 'San Diego', 'zip_code': '92130', 'country': 'US', 'state': 'CA', 'display_address': ['11375 El Camino Real', 'San Diego, CA 92130']}",+18587931200,(858) 793-1200,16979.82351724327
5IcovCryItzBBv7CMtaAsg,tanuki-san-diego,Tanuki,https://s3-media2.fl.yelpcdn.com/bphoto/pOtfwYpxtG7ItQrHe_RO_g/o.jpg,False,https://www.yelp.com/biz/tanuki-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,400,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'soup', 'title': 'Soup'}]",4.5,"{'latitude': 32.76298, 'longitude': -117.10509}",['delivery'],$$,"{'address1': '4191 Adams Ave', 'address2': '', 'address3': None, 'city': 'San Diego', 'zip_code': '92116', 'country': 'US', 'state': 'CA', 'display_address': ['4191 Adams Ave', 'San Diego, CA 92116']}",+16196240592,(619) 624-0592,5512.868758348218
FQiAIZh-xLnk08-WlHvonA,full-moon-sushi-and-kitchen-bar-san-diego,Full Moon Sushi & Kitchen Bar,https://s3-media2.fl.yelpcdn.com/bphoto/cd3kDiwjVZp_9Sn2Gtt2BQ/o.jpg,False,https://www.yelp.com/biz/full-moon-sushi-and-kitchen-bar-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,1476,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 32.715083, 'longitude': -117.160453}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '926 Fifth Ave', 'address2': '', 'address3': '', 'city': 'San Diego', 'zip_code': '92101', 'country': 'US', 'state': 'CA', 'display_address': ['926 Fifth Ave', 'San Diego, CA 92101']}",+16193105571,(619) 310-5571,8415.184101513782
_bJgk6cKcRAkzgfiL2hAcQ,urbn-sushi-san-diego,URBN Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/zzgMvgHjlucr6lamTcTiXg/o.jpg,False,https://www.yelp.com/biz/urbn-sushi-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,201,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 32.866991166720126, 'longitude': -117.20635378949486}",[],$$,"{'address1': '8895 Towne Centre Dr', 'address2': 'Ste 100', 'address3': None, 'city': 'San Diego', 'zip_code': '92122', 'country': 'US', 'state': 'CA', 'display_address': ['8895 Towne Centre Dr', 'Ste 100', 'San Diego, CA 92122']}",+18582306565,(858) 230-6565,9801.230503358936
1pIrmAPhY7s_sKtbmB0k5w,tora-tora-sushi-san-diego,Tora Tora Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/XDFw9spETsQ3rS8YR31K5Q/o.jpg,False,https://www.yelp.com/biz/tora-tora-sushi-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,221,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 32.910873596619595, 'longitude': -117.14742050367006}","['pickup', 'delivery']",$$,"{'address1': '8155 Mira Mesa Blvd', 'address2': 'Ste 3', 'address3': 'Traget', 'city': 'San Diego', 'zip_code': '92126', 'country': 'US', 'state': 'CA', 'display_address': ['8155 Mira Mesa Blvd', 'Ste 3', 'Traget', 'San Diego, CA 92126']}",+18583223356,(858) 322-3356,13391.672922747937
QgCfSdbmOr29_0LPx4uexA,komatsuya-san-diego-2,Komatsuya,https://s3-media1.fl.yelpcdn.com/bphoto/ndiNrom7GmKT1NeJxeZLgg/o.jpg,False,https://www.yelp.com/biz/komatsuya-san-diego-2?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,51,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 32.7502, 'longitude': -117.17109}",[],$$$$,"{'address1': '4015 Goldfinch St', 'address2': None, 'address3': '', 'city': 'San Diego', 'zip_code': '92103', 'country': 'US', 'state': 'CA', 'display_address': ['4015 Goldfinch St', 'San Diego, CA 92103']}",+16197059759,(619) 705-9759,4758.917359192285
tVXb1JHAArl2pkkmdsmK1Q,zzan-sushi-and-soju-san-diego,Zzan Sushi & Soju,https://s3-media2.fl.yelpcdn.com/bphoto/lmAF_amH2JZ93Mi5xDE4IA/o.jpg,False,https://www.yelp.com/biz/zzan-sushi-and-soju-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,143,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}]",4.5,"{'latitude': 32.81944529617696, 'longitude': -117.1543987}","['pickup', 'delivery']",$$,"{'address1': '4367 Convoy St', 'address2': None, 'address3': '', 'city': 'San Diego', 'zip_code': '92111', 'country': 'US', 'state': 'CA', 'display_address': ['4367 Convoy St', 'San Diego, CA 92111']}",+18584306689,(858) 430-6689,3210.9855542481537
fmk13zHLXQ8gtPOVkVGB6w,kokoro-restaurant-san-diego-2,Kokoro Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/2DqNqBrqMV8mU5mJaIOw4A/o.jpg,False,https://www.yelp.com/biz/kokoro-restaurant-san-diego-2?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,316,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 32.80284922320551, 'longitude': -117.13932196952008}",['delivery'],$$$,"{'address1': '3298 Greyling Dr', 'address2': 'Ste B', 'address3': '', 'city': 'San Diego', 'zip_code': '92123', 'country': 'US', 'state': 'CA', 'display_address': ['3298 Greyling Dr', 'Ste B', 'San Diego, CA 92123']}",+18585654113,(858) 565-4113,1941.169902872813
iFrXIJmSiEjlEHuakTaKnA,kumi-cafe-san-diego-2,Kumi Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/5Y6mmas8qdqyQqy21htIWA/o.jpg,False,https://www.yelp.com/biz/kumi-cafe-san-diego-2?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,292,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 32.819695, 'longitude': -117.149409}","['pickup', 'delivery']",$$,"{'address1': '4380 Kearny Mesa Rd', 'address2': 'Ste 300', 'address3': '', 'city': 'San Diego', 'zip_code': '92111', 'country': 'US', 'state': 'CA', 'display_address': ['4380 Kearny Mesa Rd', 'Ste 300', 'San Diego, CA 92111']}",+18585651288,(858) 565-1288,3269.0914287502997
SnJnyJUAwKu4H3pvMUYjFw,narumi-sushi-la-mesa-7,Narumi Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/VpdS1C6aZSgVVyfWWlH_TQ/o.jpg,False,https://www.yelp.com/biz/narumi-sushi-la-mesa-7?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,889,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 32.79314, 'longitude': -117.00315}",['delivery'],$$,"{'address1': '9118 Fletcher Pkwy', 'address2': '', 'address3': '', 'city': 'La Mesa', 'zip_code': '91942', 'country': 'US', 'state': 'CA', 'display_address': ['9118 Fletcher Pkwy', 'La Mesa, CA 91942']}",+16194611151,(619) 461-1151,14112.549083454047
9ylUZ4hPyg7UVcZn6cp4gA,wa-dining-okan-san-diego-2,Wa Dining OKAN,https://s3-media2.fl.yelpcdn.com/bphoto/8Zs_oQAtiPDC9WvPzvEpVQ/o.jpg,False,https://www.yelp.com/biz/wa-dining-okan-san-diego-2?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,1359,"[{'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 32.814223164089725, 'longitude': -117.154200745243}","['pickup', 'delivery']",$$,"{'address1': '3860 Convoy St', 'address2': 'Ste 110', 'address3': '', 'city': 'San Diego', 'zip_code': '92111', 'country': 'US', 'state': 'CA', 'display_address': ['3860 Convoy St', 'Ste 110', 'San Diego, CA 92111']}",+18582790941,(858) 279-0941,2630.199177582978
fMlN4fYLYZxPhcNJpc8pOQ,cinkuni-san-diego,CinKuni,https://s3-media3.fl.yelpcdn.com/bphoto/CR-fZWD2D-SItaqpcVnvEw/o.jpg,False,https://www.yelp.com/biz/cinkuni-san-diego?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,183,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 32.75493, 'longitude': -117.12947}","['pickup', 'restaurant_reservation']",$$,"{'address1': '3025 El Cajon Blvd', 'address2': '', 'address3': None, 'city': 'San Diego', 'zip_code': '92104', 'country': 'US', 'state': 'CA', 'display_address': ['3025 El Cajon Blvd', 'San Diego, CA 92104']}",+16192333072,(619) 233-3072,4575.415420863229
d4rmP5n3aiTDUBLRayxdsA,little-sakana-japanese-sushi-bar-and-grill-san-diego-3,Little Sakana Japanese Sushi Bar & Grill,https://s3-media2.fl.yelpcdn.com/bphoto/hxHaha-lQIjYx9iJANe1yg/o.jpg,False,https://www.yelp.com/biz/little-sakana-japanese-sushi-bar-and-grill-san-diego-3?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,1788,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 32.91349, 'longitude': -117.14666}","['pickup', 'delivery']",$$$,"{'address1': '8270 Mira Mesa Blvd', 'address2': 'Ste E', 'address3': '', 'city': 'San Diego', 'zip_code': '92126', 'country': 'US', 'state': 'CA', 'display_address': ['8270 Mira Mesa Blvd', 'Ste E', 'San Diego, CA 92126']}",+18588605000,(858) 860-5000,13792.366149241903
m7Rw-yPOkEW5jqqoM9FuCg,ototo-sushi-san-diego-34,Ototo Sushi,https://s3-media1.fl.yelpcdn.com/bphoto/mCXF0jO4Lm6KSe31x_xv_A/o.jpg,False,https://www.yelp.com/biz/ototo-sushi-san-diego-34?adjust_creative=ZwfsNy0f5rNp9z7rxwd_IA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ZwfsNy0f5rNp9z7rxwd_IA,2092,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 32.728078, 'longitude': -117.217454}","['pickup', 'delivery']",$$,"{'address1': '2558 Laning Rd', 'address2': 'Ste C103', 'address3': '', 'city': 'San Diego', 'zip_code': '92106', 'country': 'US', 'state': 'CA', 'display_address': ['2558 Laning Rd', 'Ste C103', 'San Diego, CA 92106']}",+16192240100,(619) 224-0100,9132.32170541847
